Variable,Category,Count,Percent
gender,Female,2994,58.590998043052835
gender,Male,2115,41.3894324853229
gender,Other,1,0.019569471624266144
ever_married,Yes,3353,65.61643835616438
ever_married,No,1757,34.38356164383561
work_type,Private,2925,57.24070450097848
work_type,Self-employed,819,16.027397260273972
work_type,children,687,13.44422700587084
work_type,Govt_job,657,12.857142857142856
work_type,Never_worked,22,0.4305283757338552
Residence_type,Urban,2596,50.80234833659492
Residence_type,Rural,2514,49.19765166340509
smoking_status,never smoked,1892,37.025440313111545
smoking_status,Unknown,1544,30.21526418786693
smoking_status,formerly smoked,885,17.318982387475536
smoking_status,smokes,789,15.44031311154599
